Output[387]: {-0.347347,-0.16822}	FIRST SYMBOL	Pass
Output[388]: {0.273061,0.348901}	FIRST SYMBOL	Pass
Output[389]: {0.104217,-0.463224}	FIRST SYMBOL	Pass
Output[390]: {-0.4146,0.299691}	FIRST SYMBOL	Pass
Output[391]: {0.564178,0.064698}	FIRST SYMBOL	Pass
Output[392]: {-0.397802,-0.314612}	FIRST SYMBOL	Pass
Output[393]: {0.037525,0.531053}	FIRST SYMBOL	Pass
Output[394]: {0.280319,-0.377401}	FIRST SYMBOL	Pass
Output[395]: {-0.486339,0.077696}	FIRST SYMBOL	Pass
Output[396]: {0.367383,0.212316}	FIRST SYMBOL	Pass
Output[397]: {-0.158057,-0.409877}	FIRST SYMBOL	Pass
Output[398]: {-0.216131,0.475938}	FIRST SYMBOL	Pass
Output[399]: {0.402943,-0.182053}	FIRST SYMBOL	Pass
Output[400]: {-0.437224,-0.090956}	FIRST SYMBOL	Pass
Output[401]: {0.22206,0.400574}	FIRST SYMBOL	Pass
Output[402]: {0.092718,-0.397112}	FIRST SYMBOL	Pass
Output[403]: {-0.232059,0.137562}	FIRST SYMBOL	Pass
Output[404]: {0.345545,0.063332}	FIRST SYMBOL	Pass
Output[405]: {-0.191175,-0.210091}	FIRST SYMBOL	Pass
Output[406]: {-0.00178,0.313617}	FIRST SYMBOL	Pass
Output[407]: {0.182569,-0.194225}	FIRST SYMBOL	Pass
Output[408]: {-0.231883,-0.043643}	FIRST SYMBOL	Pass
Output[409]: {0.187266,0.13428}	FIRST SYMBOL	Pass
Output[410]: {0.012274,-0.114673}	FIRST SYMBOL	Pass
